path,url,ukuran
foto-upload/toko1/jibbitz/JB-0000082.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000082.png,263170
foto-upload/toko1/jibbitz/JB-0000083.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000083.png,236690
foto-upload/toko1/jibbitz/JB-0000084.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000084.png,245829
foto-upload/toko1/jibbitz/JB-0000085.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000085.png,254485
foto-upload/toko1/jibbitz/JB-0000086.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000086.png,269047
foto-upload/toko1/jibbitz/JB-0000087.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000087.png,190874
foto-upload/toko1/jibbitz/JB-0000088.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000088.png,224948
foto-upload/toko1/jibbitz/JB-0000089.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000089.png,168839
foto-upload/toko1/jibbitz/JB-0000090.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000090.png,217812
foto-upload/toko1/jibbitz/JB-0000091.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000091.png,211158
foto-upload/toko1/jibbitz/JB-0000092.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000092.png,221280
foto-upload/toko1/jibbitz/JB-0000093.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000093.png,252888
foto-upload/toko1/jibbitz/JB-0000094.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000094.png,262276
foto-upload/toko1/jibbitz/JB-0000095.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000095.png,259396
foto-upload/toko1/jibbitz/JB-0000096.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000096.png,234153
foto-upload/toko1/jibbitz/JB-0000097.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000097.png,227834
foto-upload/toko1/jibbitz/JB-0000098.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000098.png,247579
foto-upload/toko1/jibbitz/JB-0000099.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000099.png,236201
foto-upload/toko1/jibbitz/JB-0000100.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000100.png,257321
foto-upload/toko1/jibbitz/JB-0000101.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000101.png,214184
foto-upload/toko1/jibbitz/JB-0000102.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000102.png,279634
foto-upload/toko1/jibbitz/JB-0000103.png,https://ganci.whatslink.group/foto-upload/toko1/jibbitz/JB-0000103.png,223790
