nama_toko,folder_toko,jenis,kunci,tipe,file_lokal,url,ukuran_byte
Hangs on You,toko3,JIBBITZ,JB-0000041,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000041.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000041.png,276298
Hangs on You,toko3,JIBBITZ,JB-0000042,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000042.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000042.png,279472
Hangs on You,toko3,JIBBITZ,JB-0000043,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000043.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000043.png,280685
Hangs on You,toko3,JIBBITZ,JB-0000044,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000044.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000044.png,282917
Hangs on You,toko3,JIBBITZ,JB-0000045,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000045.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000045.png,285822
Hangs on You,toko3,JIBBITZ,JB-0000046,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000046.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000046.png,241631
Hangs on You,toko3,JIBBITZ,JB-0000047,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000047.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000047.png,218891
Hangs on You,toko3,JIBBITZ,JB-0000048,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000048.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000048.png,255366
Hangs on You,toko3,JIBBITZ,JB-0000049,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000049.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000049.png,230542
Hangs on You,toko3,JIBBITZ,JB-0000050,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000050.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000050.png,233022
Hangs on You,toko3,JIBBITZ,JB-0000051,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000051.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000051.png,290488
Hangs on You,toko3,JIBBITZ,JB-0000052,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000052.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000052.png,306192
Hangs on You,toko3,JIBBITZ,JB-0000053,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000053.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000053.png,319299
Hangs on You,toko3,JIBBITZ,JB-0000054,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000054.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000054.png,290060
Hangs on You,toko3,JIBBITZ,JB-0000055,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000055.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000055.png,308864
Hangs on You,toko3,JIBBITZ,JB-0000056,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000056.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000056.png,308706
Hangs on You,toko3,JIBBITZ,JB-0000057,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000057.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000057.png,313546
Hangs on You,toko3,JIBBITZ,JB-0000058,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000058.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000058.png,247576
Hangs on You,toko3,JIBBITZ,JB-0000059,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000059.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000059.png,254651
Hangs on You,toko3,JIBBITZ,JB-0000060,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000060.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000060.png,253762
Hangs on You,toko3,JIBBITZ,JB-0000061,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000061.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000061.png,279548
Hangs on You,toko3,JIBBITZ,JB-0000062,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000062.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000062.png,259114
Hangs on You,toko3,JIBBITZ,JB-0000063,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000063.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000063.png,261995
Hangs on You,toko3,JIBBITZ,JB-0000064,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000064.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000064.png,268764
Hangs on You,toko3,JIBBITZ,JB-0000065,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000065.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000065.png,210320
Hangs on You,toko3,JIBBITZ,JB-0000066,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000066.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000066.png,220818
Hangs on You,toko3,JIBBITZ,JB-0000067,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000067.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000067.png,225723
Hangs on You,toko3,JIBBITZ,JB-0000068,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000068.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000068.png,216979
Hangs on You,toko3,JIBBITZ,JB-0000069,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000069.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000069.png,224152
Hangs on You,toko3,JIBBITZ,JB-0000070,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000070.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000070.png,227802
Hangs on You,toko3,JIBBITZ,JB-0000071,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000071.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000071.png,215669
Hangs on You,toko3,JIBBITZ,JB-0000072,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000072.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000072.png,209222
Hangs on You,toko3,JIBBITZ,JB-0000073,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000073.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000073.png,201334
Hangs on You,toko3,JIBBITZ,JB-0000074,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000074.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000074.png,203170
Hangs on You,toko3,JIBBITZ,JB-0000075,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000075.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000075.png,211372
Hangs on You,toko3,JIBBITZ,JB-0000076,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000076.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000076.png,202498
Hangs on You,toko3,JIBBITZ,JB-0000077,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000077.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000077.png,205650
Hangs on You,toko3,JIBBITZ,JB-0000078,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000078.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000078.png,210403
Hangs on You,toko3,JIBBITZ,JB-0000079,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000079.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000079.png,263326
Hangs on You,toko3,JIBBITZ,JB-0000080,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000080.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000080.png,279312
Hangs on You,toko3,JIBBITZ,JB-0000081,varian,E:\Project\Mass upload shopee\foto-upload\toko3\jibbitz\JB-0000081.png,https://cdn.jsdelivr.net/gh/dennypa77/mass-upload@main/foto-upload/toko3/jibbitz/JB-0000081.png,329749
